libcdio-paranoia 10.2+2.0.2-2
libcdr 0.1.9-1
libcloudproviders 0.4.0-1
libcmis 0.6.3-1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libcurl-gnutls 8.21.0-1
libdaemon 0.14-6
libdatachannel 0.24.5-1
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libde265 1.1.1-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdovi 3.3.2-2
libdrm 2.4.134-1
libdv 1.0.0-12
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libe-book 0.1.3-20
libebml 1.4.5-3
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.195-1
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-2
libev 4.33-5
libevdev 1.13.6-1
libevent 2.1.13-1
libexif 0.6.26-1
libexttextcat 3.4.8-1
libfdk-aac 2.0.3-2
libffi 3.6.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfreehand 0.1.3-1
libfyaml 0.9.6-2
libgcc 16.1.1+r346+g4e03491b401d-1
libgcrypt 1.12.2-1
libgee 0.20.8-1
libgexiv2 0.14.6-2
libgfortran 16.1.1+r346+g4e03491b401d-1
libgirepository 1.86.0-2
libgit2 1:1.9.4-1
libglvnd 1.7.0-3
libgomp 16.1.1+r346+g4e03491b401d-1
libgpg-error 1.61-1
libgphoto2 2.5.34-1
libgudev 238-3
libheif 1.23.1-1
libhwasan 16.1.1+r346+g4e03491b401d-1
libice 1.1.2-1
libid3tag 0.16.4-1
libidn 1.44-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libiio 0.26-5
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libiscsi 1.20.3-1
libisl 0.27-1
libisoburn 1.5.8.2-1
libisofs 1.5.8.2-1
libixion 0.20.0-7
libjpeg-turbo 3.2.0-2
libjuice 1.7.2-1
libjxl 0.11.2-2
libkexiv2 26.04.3-1
libksba 1.8.0-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
libliftoff 0.5.0-1
liblouis 3.38.0-1
liblqr 0.4.3-1
liblsan 16.1.1+r346+g4e03491b401d-1
libluv 1.52.1-1
libmad 0.15.1b-10
libmakepkg-dropins 20-1
libmatroska 1.7.1-2
libmaxminddb 1.13.3-1
libmd 1.2.0-1
libmm-glib 1.24.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpdclient 2.26-1
libmspack 1:1.11-2
libmspub 0.1.5-1
libmtp 1.1.23-1
libmupdf 1.27.2-2
libmwaw 0.3.22-4
libmypaint 1.6.1-2
libmysofa 1.3.4-1
libnbd 1.24.2-3
libndp 1.9-1
libnet 2:1.3-2
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.69.0-1
libnghttp3 1.17.0-1
libngtcp2 1.24.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.56.1-1
libnotify 0.8.8-1
libnsbmp 0.1.7-2
libnsgif 1.0.0-2
libnsl 2.0.1-2
libnumbertext 1.0.11-3
libnvme 1.16.2-1
libobjc 16.1.1+r346+g4e03491b401d-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libopenmpt 0.8.7-1
liborcus 0.21.0-6
libosinfo 1.12.0-3
libp11-kit 0.26.2-1
libpagemaker 0.0.4-5
libpaper 2.2.8-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.7-1
libplacebo 7.360.1-3
libplist 2.7.0-3
libpng 1.6.58-2
libportal 0.10.0-1
libportal-gtk4 0.10.0-1
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libquadmath 16.1.1+r346+g4e03491b401d-1
libqxp 0.0.3-1
libraqm 0.10.5-1
libraw 0.22.1-1
libraw1394 2.1.2-4
libreoffice-fresh 26.2.4-3
libreoffice-fresh-fr 26.2.4-1
librevenge 0.0.5-4
librewolf-bin 1:152.0.4_1-1
librsvg 2:2.62.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsass 3.6.6-2
libseccomp 2.6.0-1
libsecret 0.21.7-1
libserialport 0.1.2-1
libshout 1:2.4.6-5
libsigc++ 2.12.2-1
libsigc++-3.0 3.8.1-1
libslirp 4.9.3-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsonic 0.2.0-2
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libspectre 0.2.12-2
libspeechd 0.12.1-3
libspiro 1:20240903-1
libsrtp 1:2.8.0-1
libssh 0.12.0-1
libssh2 1.11.1-5
libstaroffice 0.0.7-5
libstdc++ 16.1.1+r346+g4e03491b401d-1
libstemmer 3.1.1-1
libsysprof-capture 50.0-2
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.1-2
libtorrent-rasterbar 1:2.0.13-1
libtraceevent 1:1.9.0-1
libtracefs 1.8.3-1
libtsan 16.1.1+r346+g4e03491b401d-1
libubsan 16.1.1+r346+g4e03491b401d-1
libuhd 4.9.0.1-7
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburcu 0.15.6-1
liburing 2.15-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
